Friendly Name,Country,Number Type,End User Type,Sid,Wave,(Target) Release Date
South Africa: Mobile - Business,ZA,Mobile,Business,RN36b2ea1d01df2a2690d5b0540ccc6e56,Wave 2,1/17/2024
South Africa: Mobile - Individual,ZA,Mobile,Individual,RNbd5de2292c3ffd1fb18ca4c376d477b0,Wave 2,1/17/2024
South Africa: National - Business,ZA,National,Business,RN785b2200cc14c02dec23cc63f8aaa672,Wave 2,1/17/2024
South Africa: National - Individual,ZA,National,Individual,RNef00e175e56051a7787a618d7e44e427,Wave 2,1/17/2024
South Africa: Toll-Free - Business,ZA,Toll Free,Business,RNb1f6dcb08239e61ac8f7f716ab15387c,Wave 2,1/17/2024
South Africa: Toll-Free - Individual,ZA,Toll Free,Individual,RN4ba980e7e3a9cbda31672a594784a8f9,Wave 2,1/17/2024
South Korea: Toll-Free - Business,KR,Toll Free,Business,RNf135b99c951f272c622a9aac2d5a05db,Wave 2,1/17/2024
South Korea: Toll-Free - Individual,KR,Toll Free,Individual,RN79ec9f19dc9eb80c9f547d581fb36fad,Wave 2,1/17/2024
Sri Lanka: Toll-Free - Business,LK,Toll Free,Business,RN8ec7b67ed6d7c6f6ee08b76e4b609cde,Wave 2,1/17/2024
Sri Lanka: Toll-Free - Individual,LK,Toll Free,Individual,RNe70576bfea13b1c2773744f758b653de,Wave 2,1/17/2024
Sweden: Local - Business,SE,Local,Business,RN4ba992fd9b192a51237cdd38b0a6c309,Wave 2,1/17/2024
Sweden: Local - Individual,SE,Local,Individual,RN1313ecc5f62b71995dd771252a0a64ab,Wave 2,1/17/2024
Sweden: National - Business,SE,National,Business,RN990349467c1ddcf6e705638417a17053,Wave 2,1/17/2024
Sweden: National - Individual,SE,National,Individual,RN530c10bed1617f6dc1bb6534998d0cc8,Wave 2,1/17/2024
Switzerland: Local - Business,CH,Local,Business,RNd8462e87a7a7878a94140bcd69747129,Wave 2,1/17/2024
Switzerland: Local - Individual,CH,Local,Individual,RN5ea7d02fec06f915089e6a730146fe59,Wave 2,1/17/2024
Switzerland: Mobile - Business,CH,Mobile,Business,RN0128cb790340d590c90f0e2d5e032133,Wave 2,1/17/2024
Switzerland: Mobile - Individual,CH,Mobile,Individual,RNb2758dce7427fa6248a2ef118674aa05,Wave 2,1/17/2024
Taiwan: Toll-Free - Business,TW,Toll Free,Business,RNdf5c844369e0126fd6f6896c4c000268,Wave 2,1/17/2024
Taiwan: Toll-Free - Individual,TW,Toll Free,Individual,RNecf15fe0d46e3c47fe98fa790ba5f0fe,Wave 2,1/17/2024
Thailand: Local - Business,TH,Local,Business,RN77eb8e1acda5d2ebb6cf790c3964f6f6,Wave 2,1/17/2024
Thailand: Local - Individual,TH,Local,Individual,RN587227543ccb044684e82bb371d2f667,Wave 2,1/17/2024
Thailand: Mobile - Business,TH,Mobile,Business,RN0f70c071ddf37e66e352dce6bf4ad9f2,Wave 2,1/17/2024
Thailand: Mobile - Individual,TH,Mobile,Individual,RN018e13df8a6e314c7ff5be1358090b68,Wave 2,1/17/2024
Thailand: Toll-Free - Business,TH,Toll Free,Business,RNc03bd718fe83baf9febc786eeef5d65f,Wave 2,1/17/2024
Thailand: Toll-Free - Individual,TH,Toll Free,Individual,RN3c478bdbdba30b7a21f16d0e4a1a4e99,Wave 2,1/17/2024
Tunisia: National - Business,TN,National,Business,RNd1b36dbfec5d6e98c3f514ae8fedfbbe,Wave 2,1/17/2024
Tunisia: National - Individual,TN,National,Individual,RNc7dfc2f01f47e0e053666edfa23a18a3,Wave 2,1/17/2024
United Arab Emirates: Toll-Free - Business,AE,Toll Free,Business,RN88a66e2e007847d81a1a7706b321f6e9,Wave 2,1/17/2024
United Arab Emirates: Toll-Free - Individual,AE,Toll Free,Individual,RN57233688310aad0f75fb1f11fa038819,Wave 2,1/17/2024
United Kingdom: Local - Business,GB,Local,Business,RN61b6f858c1a0b46ae2631346138a283c,Wave 2,1/17/2024
United Kingdom: Local - Individual,GB,Local,Individual,RNcfd9478b5eb087f3a8cb785ffb9cf1a1,Wave 2,1/17/2024
